mac,org,venue,ap_cnt,dups,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
1c:12:b0:11:b9:b7,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,504874,-66,-60,433.3,433.3,1638925,166510909,1758124,268764120,,CAN_STEER,3,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
84:ea:ed:a6:06:a2,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,30239,-42,-52,48.0,866.7,823105,82173188,7442587,11110662160,,CAN_STEER,3,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
a6:2a:ce:7a:06:2a,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,24560,-45,-55,286.7,626.9,111940,96344363,370758,441747713,,CAN_STEER,2,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
10:27:f5:bc:04:6b,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,505463,-43,-40,72.2,72.2,66699,17233499,43064,3156998,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
00:1c:c2:5b:a5:05,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,493338,-19,-24,72.2,65.0,101205,9144721,56445,6729349,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
c8:69:cd:7d:9e:c4,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,831511,-52,-51,866.7,866.7,371264,73878281,542367,210911675,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False
a4:cf:99:74:fc:f1,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,827350,-63,-69,960.7,1080.6,21512664,10685664691,34884982,24062939993,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
1e:bc:bf:ce:08:27,Shasta NorthEast,Shasta HQ,37,0,True,5G,Household,567,-69,-75,576.4,864.8,4723,2250114,10555,11468002,,MAX_REACHED,3,True,12,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,False,True,True,True,True,True
66:1c:c3:c9:fc:5e,Shasta NorthEast,Shasta HQ,37,0,True,2G,Household,92,-68,-76,72.2,43.3,24,2043,9,1324,,MAX_REACHED,1,True,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,False,False,False,False,False,False
70:a7:41:0f:57:9f,Shasta NorthEast,Stable,1,0,True,2G,430 Dandy,831129,-65,-63,65.0,72.2,233311887,298217257845,125374585,8317595340,,CAN_STEER,3,True,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True
5c:47:5e:47:f1:19,Duffy LLC,Duffy Barn,1,0,True,2G,Riverside,76856,-58,-59,11.0,72.2,29095,14782271,22273,2766428,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
5c:47:5e:47:cd:8b,Duffy LLC,Duffy Barn,1,0,True,2G,Riverside,72300,-45,-45,11.0,72.2,68938,59186412,51940,8306723,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
ac:8b:a9:8f:78:3d,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,831728,-70,-69,72.2,72.2,244644976,313358269317,121661847,8072957717,,CAN_STEER,3,True,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
5c:60:ba:52:1f:78,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,831725,-73,-63,390.0,433.3,156087,23104267,228405,70140866,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
58:9a:3e:89:ee:df,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,831706,-67,-64,585.0,780.0,4550423,493740175,4471597,722928004,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
60:ab:14:a3:fa:cc,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,742119,-38,-45,866.7,866.7,6113626,669590951,47007486,64182488198,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
00:51:ed:f8:58:5a,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,732868,-65,-70,526.6,6.0,2844852,297917649,23825138,32742177213,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
cc:f7:35:87:df:99,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,610293,-77,-74,292.6,433.3,1873149,236118886,2621093,1500729734,,MAX_REACHED,3,True,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,False,False,False,False,False
4a:75:70:1b:8e:eb,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,133802,-68,-75,576.4,12.0,431956,112441799,2610220,3361205900,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
06:4e:65:6c:f6:7a,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,132558,-69,-76,229.4,12.0,457221,120515741,884317,925591786,,MAX_REACHED,3,True,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,True,True,True,True,True
ea:5b:e6:00:f2:ec,Shasta NorthEast,Shasta HQ,19,0,True,5G,Household,589,-71,-75,576.4,626.9,2227,491204,2760,1508961,,MAX_REACHED,3,True,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,False,True,True,True,True,True
68:db:f5:ad:d1:dc,Tim,TRaceHome,1,0,True,5G,lake,76340,-73,-67,390.0,433.3,250206,31565864,440220,87730853,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
3a:85:07:15:14:d5,Tim,TRaceHome,73,0,True,5G,lake,159,-64,-71,1080.6,864.8,1186,233763,1845,1159420,,MAX_REACHED,3,True,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,False,True,True,True,True,True
f4:e2:c6:0f:3a:f3,Tim,TRaceHome,1,0,True,2G,lake,75901,-69,-68,72.2,57.8,21404866,22445491851,14378319,962905053,,CAN_STEER,3,True,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True
48:a2:e6:9e:ea:b2,Tim,TRaceHome,1,0,True,2G,lake,35399,-60,-59,65.0,65.0,12319,796583,9301,837335,,MAX_REACHED,1,True,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
50:8a:06:28:f1:b4,Tim,TRaceHome,1,0,True,2G,lake,35301,-63,-62,6.5,72.2,11604,1901872,5007,406074,,CAN_STEER,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
50:8a:06:25:92:ca,Tim,TRaceHome,1,0,True,2G,lake,35244,-62,-63,72.2,72.2,11475,1890115,4833,389972,,CAN_STEER,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
68:57:2d:9a:01:db,Tim,TRaceHome,1,0,True,2G,lake,34877,-68,-65,57.8,57.8,11493,1861321,5102,410105,,CAN_STEER,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
a0:92:08:44:e3:f8,Tim,TRaceHome,1,0,True,2G,lake,8921,-58,-52,72.2,72.2,8719,1218831,3577,439907,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
08:12:a5:a5:88:d7,Tim,TRaceHome,1,0,True,5G,pond,76290,-70,-64,433.3,6.0,302437,50357048,430166,86846165,S-99,CAN_STEER,3,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
14:91:38:6a:3a:99,Tim,TRaceHome,1,0,True,5G,pond,58978,-69,-63,433.3,433.3,198151,26188981,311350,64087700,S-99,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
10:6f:d9:2f:c1:6a,Tim,TRaceHome,1,0,True,2G,pond,75009,-70,-69,72.2,57.8,14605,1899412,203579,58662608,S-99,CAN_STEER,1,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
4c:b9:ea:07:f4:bc,Tim,TRaceHome,19,0,True,5G,lake,2184,-55,-61,48.0,200.0,478,51106,389,43145,,MAX_REACHED,3,True,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,False,True,True,True,True,False
c8:69:cd:7a:ba:cf,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,831712,-61,-61,866.7,866.7,550502,92499443,725297,264855614,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
68:d7:9a:df:31:f3,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,831259,-82,-83,234.0,390.0,125711185,139411684332,71594898,4782363898,,MAX_REACHED,3,True,243,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False,True,True,True,False,True
f4:e2:c6:76:ef:3b,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,831130,-71,-64,433.3,433.3,228928315,288814659955,105546662,7024764240,,CAN_STEER,3,True,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
f0:18:98:b4:9b:71,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,677331,-63,-71,1053.0,1300.0,952632,226063599,5991423,8031293455,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
cc:9e:a2:b5:80:cd,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,441255,-72,-78,292.5,433.3,1315418,153073816,1624187,601498945,,MAX_REACHED,3,True,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,False,False,False,False,False
fc:ec:da:30:d8:8d,Shasta NorthEast,Camp,1,0,True,5G,430 Dandy,831491,-60,-56,58.5,72.2,131246326,135555628198,105462931,7038437100,,CAN_STEER,2,True,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
fc:ec:da:30:74:23,Shasta NorthEast,Camp,1,0,True,5G,430 Dandy,831491,-69,-64,58.5,72.2,139900197,150809665633,108670723,7251158962,,CAN_STEER,3,True,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
cc:9e:a2:c7:f9:ef,Shasta NorthEast,Camp,1,0,True,5G,430 Dandy,413684,-46,-51,48.0,433.3,1593177,188510585,2314042,1524722912,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
48:a2:e6:7f:1b:71,Shasta NorthEast,Camp,1,0,True,2G,Honeywell,831072,-49,-48,72.2,65.0,38676,7138323,31287,6256274,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
b0:cf:cb:a8:64:5d,Shasta NorthEast,Camp,1,0,True,5G,430 Dandy,831481,-45,-42,866.7,866.7,1615082,193940444,1360145,576099189,,CAN_STEER,3,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
fc:ec:da:d9:02:f7,Shasta NorthEast,Camp,1,0,True,5G,430 Dandy,756257,-67,-60,58.5,72.2,128245442,148810771037,84842981,5647367327,,CAN_STEER,3,True,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
dc:03:98:fe:7b:32,Shasta NorthEast,Camp,1,0,True,5G,430 Dandy,312826,-64,-64,48.0,866.7,1419089,135798634,11685084,16144245920,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,False
b8:2c:a0:5d:44:da,Shasta NorthEast,Camp,1,0,True,2G,430 Dandy,831469,-64,-63,65.0,65.0,38086,6573138,31587,6249891,,CAN_STEER,1,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
5c:41:5a:fc:d4:01,Shasta NorthEast,Camp,1,0,True,2G,430 Dandy,831136,-71,-70,58.5,72.2,2332679,320620356,2100045,467593257,,CAN_STEER,3,True,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1c:39:29:a0:78:55,Shasta NorthEast,Camp,1,0,True,2G,430 Dandy,233032,-65,-67,72.2,57.8,8340,788752,4226,537712,,MAX_REACHED,1,True,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,False,False,False,False,False
1c:39:29:a0:4a:7f,Shasta NorthEast,Camp,1,0,True,2G,430 Dandy,216364,-66,-65,72.2,65.0,7754,729380,3978,502690,,CAN_STEER,1,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
9c:30:5b:7f:bf:d3,Tim,TRaceHome,1,0,True,2G,lake,76115,-74,-73,52.0,21.7,24042,3056760,234450,61525673,,CAN_STEER,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
a0:92:08:65:b7:e9,Tim,TRaceHome,1,0,True,2G,lake,27182,-43,-43,72.2,72.2,6204,1189565,732,92678,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
10:2c:6b:bf:48:9e,Tim,TRaceHome,1,0,True,5G,lake,76535,-57,-57,86.7,6.0,238449,41918366,255249,34694064,,CAN_STEER,3,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True
b8:27:eb:91:93:11,Tim,TRaceHome,1,0,True,2G,pond,32174,-60,-55,72.2,72.2,1855220,2563839873,656218,76687879,S-99,MAX_REACHED,1,True,179,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
10:59:32:da:b0:de,Tim,TRaceHome,1,0,True,5G,pond,76527,-70,-73,104.0,130.0,130439,17102524,996277,1360101700,S-99,BACKOFF,3,True,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
98:41:5c:a9:81:78,Tim,TRaceHome,1,0,True,5G,pond,75144,-72,-72,78.0,130.0,2253,338585,3200,3031162,S-99,MAX_REACHED,2,True,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False,False,False,False,False,False
78:45:58:3f:9c:31,Tim,TRaceHome,1,0,True,2G,lake,76105,-60,-58,72.2,72.2,16142780,15335146248,12246633,823455140,,MAX_REACHED,3,True,250,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True
24:62:ab:30:0a:fb,Tim,TRaceHome,1,0,True,2G,lake,23410,-53,-52,48.0,72.2,8523,1308573,494,59616,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
b4:e4:54:07:18:a8,Tim,TRaceHome,1,0,True,2G,lake,10207,-35,-39,72.2,72.2,1560,304068,771,220676,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1c:57:dc:43:9f:71,Tim,TRaceHome,1,0,True,5G,lake,76628,-61,-62,156.0,360.0,23182017,14706780608,56231448,73779562956,,CAN_STEER,3,True,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
10:ce:02:66:73:0e,Tim,TRaceHome,1,0,True,5G,lake,76552,-53,-47,86.7,200.0,31000497,2142470243,43577720,39018191573,,CAN_STEER,3,True,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,True,False
7c:ed:c6:f7:e1:d4,Tim,TRaceHome,1,0,True,5G,lake,76551,-75,-75,65.0,135.0,190326,26948443,280877,73120567,,BACKOFF,3,True,2,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,True,True,True,True,True,False
fc:d7:49:0c:0f:21,Tim,TRaceHome,1,0,True,5G,lake,76551,-68,-69,86.7,200.0,190945,26193216,278006,54100790,,CAN_STEER,3,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,False
90:f8:2e:fd:d2:24,Tim,TRaceHome,1,0,True,5G,lake,76551,-50,-51,48.0,200.0,289953,44279886,450177,151963333,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,False
